Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex (field),Sex (final),Sex Source,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin,Final Origin,Field Origin,Origin Source
15,3DD.003DA28962,Hat. Summer Steelhead,32H,Mark,760,NA,AD FE RF,NA,7/8/2021 13:06,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 13:06,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-May,X,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,R.2,H,H,H,NA
16,3DD.003DA28915,Hat. Summer Steelhead,32H,Mark,700,NA,AD FE RF,NA,7/8/2021 13:29,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 13:29,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-May,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
17,3DD.003DA28928,Hat. Summer Steelhead,32H,Mark,730,NA,AD CW FE RF,NA,7/8/2021 13:50,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 13:50,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,X,NA,3-May,X,NA,NA,Passed,Female,Female,Wen Broodstock,Maiden,X,NA,NA,1.2,H,H,H,NA
18,3DD.003DA2892B,Wild Summer Steelhead,32W,Mark,770,NA,AI FE RF,NA,7/12/2021 6:40,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/12/2021 6:40,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Jun,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,3.2,W,W,W,NA
19,3DD.003DA2891B,Hat. Summer Steelhead,32H,Mark,700,NA,AI FE RF,NA,7/12/2021 7:34,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/12/2021 7:34,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Jun,NA,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
20,3DD.003DA2891D,Wild Summer Steelhead,32W,Mark,720,NA,AI FE RF,NA,7/12/2021 9:10,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/12/2021 9:10,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Jun,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,R.1,W,W,W,NA
21,3DD.003DA2895D,Hat. Summer Steelhead,32H,Mark,580,NA,AD FE RF,NA,7/14/2021 6:08,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/14/2021 6:08,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Jul,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
22,3DD.003DA2894A,Hat. Summer Steelhead,32H,Mark,360,NA,AD FE RF,NA,7/14/2021 8:36,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/14/2021 8:36,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Jul,X,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,3,H,H,H,NA
23,3DD.003DA28967,Wild Summer Steelhead,32W,Mark,790,NA,AI FE RF,NA,7/14/2021 12:00,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/14/2021 12:00,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Jul,NA,NA,NA,Passed,Female,Female,Wen Broodstock,Maiden,NA,NA,NA,2.2,W,W,W,NA
24,3DD.003DA28910,Hat. Summer Steelhead,32H,Mark,750,NA,AD MA RF,NA,7/14/2021 12:17,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/14/2021 12:17,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Jul,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
25,3DD.003DA2894B,Hat. Summer Steelhead,32H,Mark,720,NA,AD FE RF,NA,7/15/2021 5:47,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/15/2021 5:47,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Aug,X,NA,NA,Passed,Female,NA,NA,Maiden,X,SS,NA,1.2,H,H,H,NA
26,3DD.003DA28930,Hat. Summer Steelhead,32H,Mark,700,NA,AD FE RF,NA,7/19/2021 6:34,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 6:34,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Sep,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
27,3DD.003DA2893C,Hat. Summer Steelhead,32H,Mark,700,NA,AD FE RF,Injury-Body,7/19/2021 8:17,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 8:17,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Sep,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
28,3DD.003DA28960,Wild Summer Steelhead,32W,Mark,520,NA,AI FE RF,body deformed,7/19/2021 8:22,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 8:22,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Sep,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
29,3DD.003DA2894F,Wild Summer Steelhead,32W,Mark,760,NA,AI MA RF,NA,7/19/2021 8:57,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 8:57,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Sep,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,SS,NA,2.2,W,W,W,NA
30,3DD.003D431F78,Hat. Summer Steelhead,32H,Recapture,600,NA,AD CW FE RE RF,This is a recap!!!!,7/19/2021 9:09,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 9:09,ECKENBERG J,CPUD,LADDER,NA,25,NA,NA,NA,NA,NA,NA,NA,X,NA,5-Sep,X,NA,NA,Passed,Female,NA,NA,Recapture,X,NA,NA,H2.1,H,H,H,NA
31,3DD.003DA28924,Hat. Summer Steelhead,32H,Mark,690,NA,AD FE RF,NA,7/19/2021 9:35,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 9:35,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Sep,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
32,3DD.003DA28947,Wild Summer Steelhead,32W,Mark,680,NA,AI FE RF,NA,7/19/2021 9:38,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 9:38,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Oct,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
33,3DD.003DA28952,Wild Summer Steelhead,32W,Mark,410,NA,AI MA RF,Changed to W per scale analysis,7/19/2021 9:49,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 9:49,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Oct,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2,W,W,H,NA
34,3DD.003DA28935,Hat. Summer Steelhead,32H,Mark,610,NA,AD MA RF,NA,7/19/2021 10:06,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 10:06,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Oct,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
35,3DD.003DA28934,Hat. Summer Steelhead,32H,Mark,710,NA,AD FE RF,NA,7/19/2021 10:41,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 10:41,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Oct,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,H2.2,H,H,H,NA
36,3DD.003DA28944,Hat. Summer Steelhead,32H,Mark,700,NA,AI FE RF,NA,7/19/2021 10:52,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 10:52,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5-Oct,NA,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
37,3DD.003DA28943,Hat. Summer Steelhead,32H,Mark,720,NA,AD FE RF,NA,7/19/2021 10:55,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 10:55,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Oct,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
38,3DD.003DA2892D,Hat. Summer Steelhead,32H,Mark,540,NA,AD FE RF,NA,7/19/2021 11:57,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/19/2021 11:57,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Nov,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,H2.1,H,H,H,NA
39,3DD.003DA2892F,Hat. Summer Steelhead,32H,Mark,700,NA,AD FE RF,NA,7/21/2021 6:36,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/21/2021 6:36,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Dec,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
40,3DD.003DA28937,Wild Summer Steelhead,32W,Mark,560,NA,AI MA RF,NA,7/21/2021 8:14,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/21/2021 8:14,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Dec,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,3.1,W,W,W,NA
41,3DD.003DA28911,Hat. Summer Steelhead,32H,Mark,640,NA,AD MA RF,NA,7/21/2021 9:07,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/21/2021 9:07,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Dec,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
42,3DD.003DA2896D,Hat. Summer Steelhead,32H,Mark,570,NA,AI FE RF,NA,7/21/2021 10:23,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/21/2021 10:23,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Dec,NA,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.1,H,H,H,NA
43,3DD.003DA28954,Hat. Summer Steelhead,32H,Mark,300,NA,AD FE RF RV,NA,7/21/2021 12:08,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/21/2021 12:08,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5-Dec,X,X,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1,H,H,H,NA
44,3DD.003DA2895E,Wild Summer Steelhead,32W,Mark,630,NA,AI FE RF,Changed to W per scale analysis,7/21/2021 12:25,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/21/2021 12:25,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Dec,NA,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,3.1,W,W,H,NA
45,3DD.003DA28968,Hat. Summer Steelhead,32H,Mark,350,NA,AD FE RF RV,NA,7/21/2021 12:59,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/21/2021 12:59,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-1,X,X,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1,H,H,H,NA
46,3DD.003DA28931,Hat. Summer Steelhead,32H,Mark,640,NA,AD FE RF,NA,7/21/2021 14:02,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/21/2021 14:02,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-2,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
47,3DD.003DA2893A,Wild Summer Steelhead,32W,Mark,590,NA,AI FE RF,NA,7/23/2021 6:24,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 6:24,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-1,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
48,3DD.003DA28964,Wild Summer Steelhead,32W,Mark,690,NA,AI FE RF,NA,7/23/2021 7:47,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 7:47,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-2,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
49,3DD.003DA28939,Wild Summer Steelhead,32W,Mark,640,NA,AI FE RF,NA,7/23/2021 7:56,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 7:56,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-3,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
50,3DD.003DA28912,Hat. Summer Steelhead,32H,Mark,820,NA,AI CW FE RF,Injury-Body,7/23/2021 10:05,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 10:05,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,X,NA,14-4,NA,NA,NA,Passed,Female,NA,NA,Maiden,X,HW,NA,1.3,H,H,H,NA
51,3DD.003DA28922,Hat. Summer Steelhead,32H,Mark,700,NA,AD FE RF,NA,7/23/2021 11:03,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 11:03,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-5,X,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,1.2,H,H,H,NA
52,3DD.003DA28953,Wild Summer Steelhead,32W,Mark,570,NA,AI MA RF,NA,7/23/2021 11:44,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 11:44,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-6,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
53,3DD.003DA2894C,Wild Summer Steelhead,32W,Mark,550,NA,AI MA RF,NA,7/23/2021 12:16,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 12:16,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-1,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
54,3DD.003DA28940,Hat. Summer Steelhead,32H,Mark,560,NA,AD FE RF,NA,7/23/2021 12:42,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 12:42,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-2,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.1,H,H,H,NA
55,3DD.003DA28929,Wild Summer Steelhead,32W,Mark,600,NA,AI FE RF,NA,7/23/2021 13:22,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 13:22,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-3,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
56,3DD.003DA28936,Wild Summer Steelhead,32W,Mark,620,NA,AI MA RF,NA,7/23/2021 13:29,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/23/2021 13:29,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-4,NA,NA,NA,Passed,Male,Male,Wen Broodstock,Maiden,NA,NA,NA,2.1,W,W,W,NA
57,3DD.003DA28917,Wild Summer Steelhead,32W,Mark,620,NA,AI FE RF,Injury - Snout,7/26/2021 6:06,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 6:06,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-1,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,Lmaxmissing,NA,R.1,W,W,W,NA
58,3DD.003DA28949,Hat. Summer Steelhead,32H,Mark,760,NA,AD FE RF,Injury-Body,7/26/2021 8:11,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 8:11,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-2,X,NA,NA,Passed,Female,Female,Wells Broodstock,Maiden,X,SS,NA,1.2,H,H,H,NA
59,3DD.003DA2896B,Wild Summer Steelhead,32W,Mark,740,NA,AI MA RF,NA,7/26/2021 8:14,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 8:14,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-3,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
60,3DD.003DA28918,Hat. Summer Steelhead,32H,Mark,750,NA,AD MA RF,NA,7/26/2021 8:33,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 8:33,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-4,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
61,3DD.003DA2891A,Wild Summer Steelhead,32W,Mark,700,NA,AI FE RF,NA,7/26/2021 11:05,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 11:05,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-5,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
62,3DD.003DA2891C,Hat. Summer Steelhead,32H,Mark,720,NA,AD FE RF,NA,7/26/2021 11:07,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 11:07,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-6,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
63,3DD.003DA2890F,Hat. Summer Steelhead,32H,Mark,680,NA,AD FE RF,NA,7/26/2021 11:19,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/26/2021 11:19,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17-1,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
